Date,Close
1-Jun-13,120
3-Jun-13,120
4-Jun-13,120
5-Jun-13,180
6-Jun-13,120
7-Jun-13,120
10-Jun-13,180
11-Jun-13,120
12-Jun-13,120
13-Jun-13,120
14-Jun-13,180
17-Jun-13,180
18-Jun-13,120
19-Jun-13,120
20-Jun-13,120
21-Jun-13,120
24-Jun-13,120
25-Jun-13,180
26-Jun-13,120
27-Jun-13,120
28-Jun-13,180
1-Jul-13,120
2-Jul-13,120
3-Jul-13,180
4-Jul-13,120
5-Jul-13,120
8-Jul-13,180
9-Jul-13,120
10-Jul-13,180
11-Jul-13,120
12-Jul-13,120
15-Jul-13,180
16-Jul-13,120
17-Jul-13,180
18-Jul-13,120
19-Jul-13,120
22-Jul-13,192
23-Jul-13,120
24-Jul-13,180
25-Jul-13,120
26-Jul-13,120
29-Jul-13,180
30-Jul-13,120
31-Jul-13,180
1-Aug-13,120
2-Aug-13,120
5-Aug-13,120
6-Aug-13,120
7-Aug-13,120
8-Aug-13,120
12-Aug-13,180
19-Aug-13,120
20-Aug-13,120
21-Aug-13,120
22-Aug-13,120
23-Aug-13,180
26-Aug-13,180
27-Aug-13,180
28-Aug-13,120
29-Aug-13,180
30-Aug-13,120
2-Sep-13,120
3-Sep-13,120
4-Sep-13,120
5-Sep-13,120
6-Sep-13,120
10-Sep-13,60
11-Sep-13,120
12-Sep-13,120
13-Sep-13,120
16-Sep-13,120
17-Sep-13,120
18-Sep-13,120
19-Sep-13,120
20-Sep-13,120
23-Sep-13,140
24-Sep-13,120
25-Sep-13,60
26-Sep-13,180
27-Sep-13,120
28-Sep-13,120
21-Oct-13,120
22-Oct-13,60
23-Oct-13,60
24-Oct-13,120
25-Oct-13,60
28-Oct-13,120
29-Oct-13,120
30-Oct-13,60
31-Oct-13,120
5-Nov-13,60
6-Nov-13,120
7-Nov-13,60
8-Nov-13,120
11-Nov-13,60
12-Nov-13,120
