Date,Close
1-Jun-13,500
3-Jun-13,750
4-Jun-13,500
5-Jun-13,750
6-Jun-13,500
7-Jun-13,500
8-Jun-13,500
10-Jun-13,750
11-Jun-13,500
12-Jun-13,500
13-Jun-13,500
14-Jun-13,750
15-Jun-13,500
17-Jun-13,750
18-Jun-13,500
19-Jun-13,500
20-Jun-13,750
21-Jun-13,500
22-Jun-13,500
24-Jun-13,500
25-Jun-13,750
26-Jun-13,500
27-Jun-13,500
28-Jun-13,750
29-Jun-13,500
1-Jul-13,750
2-Jul-13,500
3-Jul-13,750
4-Jul-13,500
5-Jul-13,500
6-Jul-13,500
8-Jul-13,750
9-Jul-13,500
10-Jul-13,750
11-Jul-13,500
12-Jul-13,500
13-Jul-13,500
15-Jul-13,750
16-Jul-13,500
17-Jul-13,750
18-Jul-13,500
19-Jul-13,500
20-Jul-13,500
22-Jul-13,750
23-Jul-13,500
24-Jul-13,750
25-Jul-13,500
26-Jul-13,500
27-Jul-13,500
29-Jul-13,750
30-Jul-13,500
31-Jul-13,750
1-Aug-13,500
2-Aug-13,500
3-Aug-13,500
5-Aug-13,500
7-Aug-13,500
8-Aug-13,500
10-Aug-13,500
12-Aug-13,750
13-Aug-13,500
14-Aug-13,500
17-Aug-13,500
19-Aug-13,500
20-Aug-13,500
21-Aug-13,500
22-Aug-13,500
23-Aug-13,750
24-Aug-13,500
26-Aug-13,750
27-Aug-13,750
29-Aug-13,750
30-Aug-13,500
31-Aug-13,250
2-Sep-13,500
3-Sep-13,500
4-Sep-13,500
6-Sep-13,500
7-Sep-13,500
10-Sep-13,250
11-Sep-13,500
12-Sep-13,500
13-Sep-13,500
14-Sep-13,500
16-Sep-13,500
17-Sep-13,500
18-Sep-13,500
19-Sep-13,500
20-Sep-13,500
21-Sep-13,500
23-Sep-13,500
24-Sep-13,500
25-Sep-13,250
26-Sep-13,750
27-Sep-13,500
28-Sep-13,500
30-Sep-13,500
3-Oct-13,500
5-Oct-13,500
22-Oct-13,250
23-Oct-13,250
24-Oct-13,500
25-Oct-13,500
26-Oct-13,500
28-Oct-13,500
29-Oct-13,500
30-Oct-13,250
31-Oct-13,500
5-Nov-13,250
6-Nov-13,500
7-Nov-13,500
8-Nov-13,500
9-Nov-13,500
11-Nov-13,250
12-Nov-13,500
