Date,Close
1-Jun-13,388
3-Jun-13,582
4-Jun-13,388
5-Jun-13,582
6-Jun-13,388
7-Jun-13,388
8-Jun-13,388
10-Jun-13,582
11-Jun-13,388
12-Jun-13,388
13-Jun-13,388
14-Jun-13,582
15-Jun-13,388
17-Jun-13,582
18-Jun-13,388
19-Jun-13,388
20-Jun-13,582
21-Jun-13,388
22-Jun-13,388
24-Jun-13,388
25-Jun-13,582
26-Jun-13,388
27-Jun-13,388
28-Jun-13,582
29-Jun-13,388
1-Jul-13,582
2-Jul-13,388
3-Jul-13,582
4-Jul-13,388
5-Jul-13,388
6-Jul-13,388
8-Jul-13,582
9-Jul-13,388
10-Jul-13,582
11-Jul-13,388
12-Jul-13,388
13-Jul-13,388
15-Jul-13,582
16-Jul-13,388
17-Jul-13,582
18-Jul-13,388
19-Jul-13,388
20-Jul-13,388
22-Jul-13,582
23-Jul-13,388
24-Jul-13,582
25-Jul-13,388
26-Jul-13,388
27-Jul-13,388
29-Jul-13,582
30-Jul-13,388
31-Jul-13,582
1-Aug-13,388
2-Aug-13,388
3-Aug-13,388
7-Aug-13,388
8-Aug-13,388
10-Aug-13,388
12-Aug-13,582
13-Aug-13,388
14-Aug-13,388
17-Aug-13,388
19-Aug-13,388
20-Aug-13,388
21-Aug-13,388
22-Aug-13,388
23-Aug-13,582
24-Aug-13,388
26-Aug-13,582
27-Aug-13,582
29-Aug-13,582
30-Aug-13,388
31-Aug-13,194
2-Sep-13,388
3-Sep-13,388
4-Sep-13,388
6-Sep-13,388
7-Sep-13,388
10-Sep-13,194
11-Sep-13,388
12-Sep-13,388
13-Sep-13,388
14-Sep-13,388
16-Sep-13,388
17-Sep-13,388
18-Sep-13,388
19-Sep-13,388
20-Sep-13,388
21-Sep-13,388
23-Sep-13,388
24-Sep-13,388
25-Sep-13,194
26-Sep-13,582
27-Sep-13,388
28-Sep-13,388
30-Sep-13,388
1-Oct-13,388
3-Oct-13,388
5-Oct-13,388
21-Oct-13,388
22-Oct-13,194
23-Oct-13,194
24-Oct-13,388
25-Oct-13,388
26-Oct-13,388
28-Oct-13,388
29-Oct-13,388
30-Oct-13,194
31-Oct-13,388
5-Nov-13,194
6-Nov-13,388
7-Nov-13,388
8-Nov-13,388
9-Nov-13,388
11-Nov-13,194
12-Nov-13,388
