date,close
1-Jun-13,170
3-Jun-13,255
4-Jun-13,170
5-Jun-13,255
6-Jun-13,170
7-Jun-13,170
8-Jun-13,170
10-Jun-13,255
11-Jun-13,170
12-Jun-13,170
13-Jun-13,170
14-Jun-13,255
15-Jun-13,170
17-Jun-13,255
18-Jun-13,170
19-Jun-13,170
20-Jun-13,255
21-Jun-13,170
22-Jun-13,170
24-Jun-13,170
25-Jun-13,255
26-Jun-13,170
27-Jun-13,170
28-Jun-13,255
29-Jun-13,170
1-Jul-13,255
2-Jul-13,170
3-Jul-13,255
4-Jul-13,170
5-Jul-13,170
6-Jul-13,170
8-Jul-13,255
9-Jul-13,170
10-Jul-13,255
11-Jul-13,170
12-Jul-13,170
13-Jul-13,170
15-Jul-13,255
16-Jul-13,170
17-Jul-13,255
18-Jul-13,170
19-Jul-13,170
20-Jul-13,170
22-Jul-13,255
23-Jul-13,170
24-Jul-13,255
25-Jul-13,170
26-Jul-13,170
27-Jul-13,170
29-Jul-13,255
30-Jul-13,170
1-Aug-13,170
2-Aug-13,170
3-Aug-13,170
5-Aug-13,170
6-Aug-13,170
7-Aug-13,170
8-Aug-13,170
10-Aug-13,170
